Time of Scraping,Price,24h Range (High/Low),Market Cap,24h Trading Volume,Circulating Supply,1h Price Change %,24h Price Change %,7d Price Change %
2025-05-08 12:07:32,"$99,615.74","$95,967.46 - $99,658.90","$1,978,689,516,714","$72,956,102,388","19,861,812",0.2%,2.7%,4.7%
2025-05-08 12:09:56,"$99,622.65","$95,967.46 - $99,658.90","$1,978,689,516,714","$71,741,119,367","19,861,812",0.2%,2.7%,4.7%
2025-05-08 12:12:22,"$99,533.57","$95,967.46 - $99,658.90","$1,978,575,297,657","$72,762,558,050","19,861,812",0.1%,2.7%,4.6%
